author,comment,published_at
@BriteRoy,"Able to send messages to producer and receive in consumer from cmd.
But not able to do the same from Python. 
Any help?",2023-06-27T18:01:04Z
@user-ql2yg4in6v,"running zookeeper on windows got INFO ZooKeeper audit is disabled. and ERROR Exiting JVM with code 2

I am facing this error while running zookeeper.
please help",2023-06-27T10:01:46Z
@ashishkumavat2646,I completed the entire project. Thank you very much for this.,2023-06-26T17:39:11Z
@lucjankonopka5064,"I completed the entire project! I had to make some slight modifications due to the updates, but it was nice to get to know how it works. Great explanation, and keep up the good work! :)",2023-06-24T11:12:25Z
@lgganu,"Great content, excellent explanation with practical",2023-06-21T18:30:05Z
@arturleperoke3205,29:49 I know its rough out there..,2023-06-20T10:11:36Z
@user-dz5pj3yg4e,"I completed the entire project, with a slight modification, orchestrated the kafka server on local machine instead of AWS EC2, worked like a charm for my localised use case. Thanks for designing this",2023-06-17T21:31:45Z
@rakeshsagar9510,"Hi Darshil, thanks for a nice tutorial.",2023-06-16T15:43:26Z
@vishnuteja9747,invaluable for interview preparation with little or no data engineering working experience,2023-06-15T21:36:55Z
@user-nf3hx6ul5h,"Great video! nice explained and really enjoyable! I completed the project, some errors in between but I manage to solve them with your tips, I am willing to see more materials soon! Would be cool to show some geospatial tools or some projects using geospatial data and aws tools, but anyway great video!",2023-06-15T08:00:50Z
@spoorthydevineni822,very good content,2023-06-14T06:52:35Z
@sm.prithiv7174,config file  is correct and security group i hv given inbound. Kafka server is not getting connected. Disconnecting time bound. What might be the reason. Tried chatgpt stackoverflow nothing works. But if i give local in config file i can make connection and producer nd consumer  is working. Opened for all inbound. Reatarted and created new instances several time. Nothing works Please help. Trying from last 20 hours,2023-06-12T09:38:17Z
@ganeshkameswaran7123,"Excellent tutorial! One issue I face is the connection always getting lost  with no broker available errors in 20-30 mins. By the time we start all process (SSH,zoo,file edits, EC2 restart, kafka, consumer,jupyter)  and start playing around with python code in 15 mins even before starting to load csv file but just manually sending few lines of data, the system start giving errors. Debugged for several days and opened a case with AWS but no luck. If there is any solution then please share. Unsure if it is time out in ZK/Kafka or memory or EC2 suspend issues",2023-06-07T19:09:31Z
@duyoan6821,Many thanks for your help,2023-06-07T16:16:52Z
@ranvijaymehta,Thanks Sir,2023-06-06T22:57:43Z
@mohammednizam2559,there is delay in data best method to use broker API to get feed faster and free of cost,2023-05-31T08:13:00Z
@bilalhussain619,"I completed the entire project, my first one on the path to become a data engineer. Very helpful! Thanks a lot for this!",2023-05-30T14:19:36Z
@athanasiosmanoloudas5013,"Great work Darshill, very good material . I have completed the entire project and i'm excited to learn more!",2023-05-29T12:41:30Z
@animeshydv7083,"Hi darshil, getting node assignment timed out error even after allowing all traffic in inbound rules. Kindly help!",2023-05-26T14:42:46Z
@animeshydv7083,"When creating topic, getting error as node assignment timed out. Can you help?",2023-05-26T10:35:48Z
@peekknuf,"Just stumbled upon this, Darshil, u must know that you've done an amazing, exceptionally thorough job, just bravo.
I've managed to follow through in a span of 2 evenings and I'm not gonna say that it went smoothly, just as you said, lots of googling was involved, as it should be!",2023-05-25T01:03:01Z
@vivekseelam1674,"Hi Darshil, I just completed this project and I'd love to learn more!
really appreciate the work you are doing in the community! thanks and keep rocking!",2023-05-20T18:46:46Z
@simransimran6766,❤❤,2023-05-20T17:18:22Z
@mhernar,"Hey Darshil!
Great video! I just completed this project and I'd love to learn more!

I've been reading some about Kafka and Data Warehouse, however with this project I was able to put in practice some of those concepts and assimilate them better, thank you the time and dedication, your content is of an invaluable help for me!",2023-05-17T02:56:45Z
@eugenmalatov5470,"This is for a more technical audience. Instead of explaining situation-complication-action, delves straight into the terminology of Kafka. The project part is probably good. but I will need to watch another video explaining the purpose of Kafka in the first place.",2023-05-16T22:39:53Z
@eugenmalatov5470,I do not get it. What you are describing in the first two minutes is just the normal processing of a process or a computer programm.,2023-05-16T22:33:02Z
@tririzki7025,"i am getting an error while creating crawlers on AWS Glue. i have setup IAM Role, S3 as data source, and the database. All service on the same region ap-southeast-2. does anyone face the same issue ?",2023-05-16T07:46:18Z
@mukultyagi3737,"I am not able to write the cmd commands on the EC2 cmd. When I am writing to locate a folder the same EC2 cmd, then it is showing 'command not found'. Plz help me, what to do.",2023-05-12T12:53:07Z
@tamunopriyedagogo-george5111,"I completed the entire project successfully despite having errors at almost every stage! 😂
I'm excited to learn more! Really nice tutorial man! welldone!",2023-05-10T11:32:57Z
@mogo1827,Great tutorial! Thanks bro.,2023-05-09T15:08:10Z
@wakarusan1,i ran my prod environment with something similar to this.  does anyone else actually do this sort of stuff in prod?,2023-05-04T18:07:25Z
@swarajpatil6447,I have completed the entire project and i'm excited to learn more! Thanks Darshil!,2023-05-02T23:40:19Z
@user-yz3qn8jf5h,Great video ! :),2023-04-30T11:11:10Z
@user-dz7ik5bb2r,I completed the entire project and I'm excited to learn more!,2023-04-28T00:51:24Z
@RakeshSharma-yx6qv,"Thanks Drashil, By seeing the comment box it has been proclaimed the you are the best tutor for data engineering",2023-04-24T12:23:14Z
@sewawilson,"As of today, 24/04/2023, you cannot follow this project. Got stuck when you have to create a producer and a consumer. I tried to debug for 6 hours straight, nothing to do. The zookeeper and the kafka server go timeout. Then your terminal will be slow as HELL, surely because of a problem on the EC2 side. I had to create several EC2s, nothing to do I still get stuck on the same point.  Even if I restart my computer and connect to the EC2, the latter still very very very slow, you cannot do anything. I don't know how y'all did not get any errors.",2023-04-24T11:52:15Z
@Qzbub,Bro thanks for all of this 🔥,2023-04-19T15:51:56Z
@shankarbonda6977,"Hi @Darshil, On windows machine I am facing file permission denied error for .pem file, could you please help me out. Thank you",2023-04-15T15:41:05Z
@avinashpandeshwar1832,"Hi Darshil,

Completed this project successfully. It was a great learning experience, and a very nice introduction to Kafka basics with hands on.

Had a question regarding how data was pushed to S3. Creating one file per message doesn't seem like a good practice, since the number of messages may be huge. Is there a better way to group messages (for example, one file every 5 mins) and then store in S3? Is there a way to consume Kafka messages between two time boundaries?",2023-04-11T06:27:52Z
@Soulfulreader786,"How is it possible that you do not get errors

I got several errors first the topic creation is failing on ec2
Then i was getting clas not found error due to ver mismatch of spark or something that i stil need to find ...i have installed jars for that as suggested but still the same",2023-04-10T21:54:07Z
@devanshsharma5159,I was able to complete! Thanks a lot Dharshil! :D,2023-04-08T18:47:34Z
@shubhamjadhav572,This guy is a legend!!,2023-04-05T15:32:52Z
@moeheinaung235,Awesome project tutorial. Would love to see something more complicated with Kafka.,2023-04-02T20:03:08Z
@lowayne5,I completed the entire project and I'm excited to learn more! I ran into a few issues with the Amazon Linux 2023 update but pushed through. Thank you for creating this Darshil. Great work!,2023-04-02T00:06:14Z
@ChhatreMihir,Getting an error 'Unable to find a match: java-1.8.0-openjdk' when I run the command 'sudo yum install java-1.8.0-openjdk'. Any suggestions how I can proceed?,2023-03-30T21:23:04Z
@manikyamcherukuri3701,I have completed this project and excited to learn more. Thankyou Darshil for all your efforts.,2023-03-29T18:23:13Z
@prajwaldeshpande7984,I completed the entire project with solving lot of errors fealing confident thanks for the video,2023-03-26T09:47:15Z
@anandvardhanshukla4085,"Hey Darshil, I am following you line by line but, constantly finding time out error while creating topic, this is the most common error we all are majorly facing out, it would be really of great help for all of us, if kindly help out. Thanks",2023-03-25T16:53:04Z
@syedhashir5014,For those who are getting .cer file downloaded just change the filename from .cer to .pem,2023-03-25T10:10:37Z
@WesleySantos-yl3jh,I completed the entire project and I'm excited to learn more! 👍,2023-03-20T19:55:36Z
@deeputiwari1415,"One crawler failed to create
The following crawler failed to create: ""stock-market-analysis""
Here is the most recent error message: Account 09XXXXXXXXXX is denied access.
Why I'm gettting this issue",2023-03-10T09:26:48Z
@senthilnuka7710,I completed the entire project. Excited to learn more!. Thank you providing such a valuable content,2023-03-04T05:18:26Z
@pratikmahajan6082,Please do one data Engineering project also in gcp,2023-03-04T04:44:01Z
